id,t_day,t1_day,t2_day,ts_code,stock_name,t1_open,t2_close,return_pct,is_win,selection_rank,created_at,shares_held,sell_history,final_profit
45,20260415,20260416,20260417,002297.SZ,博云新材,16.08,17.69,10.01,1,1,2026-04-17 16:10:36.820320,1.0,[],
44,20260414,20260415,20260416,300857.SZ,协创数据,280.19,319.0,13.85,1,3,2026-04-16 16:10:15.211381,1.0,[],
43,20260414,20260415,20260416,603026.SH,石大胜华,104.0,97.47,-6.28,0,2,2026-04-16 16:10:15.211380,1.0,[],
42,20260414,20260415,20260416,002297.SZ,博云新材,14.62,16.08,9.99,1,1,2026-04-16 16:10:15.211375,1.0,[],
41,20260413,20260414,20260415,301667.SZ,纳百川,107.56,102.9,-4.33,0,3,2026-04-15 16:10:18.171226,1.0,[],
40,20260413,20260414,20260415,600982.SH,宁波能源,5.99,5.65,-5.68,0,2,2026-04-15 16:10:18.171225,1.0,[],
39,20260413,20260414,20260415,002297.SZ,博云新材,13.29,14.62,10.01,1,1,2026-04-15 16:10:18.171219,1.0,[],
38,20260410,20260413,20260414,002328.SZ,新朋股份,11.12,11.84,6.47,1,2,2026-04-14 16:10:17.491485,1.0,[],
37,20260410,20260413,20260414,002364.SZ,中恒电气,38.63,42.49,9.99,1,1,2026-04-14 16:10:17.491479,1.0,[],
36,20260408,20260409,20260410,002131.SZ,利欧股份,8.03,7.99,-0.5,0,3,2026-04-10 17:00:58.901085,1.0,[],
35,20260408,20260409,20260410,001389.SZ,广合科技,128.13,126.81,-1.03,0,2,2026-04-10 17:00:58.901084,1.0,[],
34,20260408,20260409,20260410,002491.SZ,通鼎互联,15.59,14.59,-6.41,0,1,2026-04-10 17:00:58.901078,1.0,[],
33,20260403,20260407,20260408,002952.SZ,亚世光电,25.71,26.41,2.72,0,2,2026-04-08 16:22:01.854503,1.0,[],
32,20260403,20260407,20260408,002980.SZ,华盛昌,47.72,52.86,10.77,1,1,2026-04-08 16:22:01.854502,1.0,[],
31,20260403,20260407,20260408,000001.SZ,测试股票,11.12,11.22,0.9,0,1,2026-04-08 16:22:01.854496,1.0,[],
30,20260402,20260403,20260407,002828.SZ,贝肯能源,15.17,13.9,-8.37,0,3,2026-04-07 16:10:16.866126,1.0,[],
29,20260402,20260403,20260407,605162.SH,新中港,14.48,14.07,-2.83,0,2,2026-04-07 16:10:16.866124,1.0,[],
28,20260402,20260403,20260407,300839.SZ,博汇股份,17.01,14.1,-17.11,0,1,2026-04-07 16:10:16.866117,1.0,[],
3,20260401,20260402,20260403,002923.SZ,润都股份,18.8,15.62,-16.91,0,3,2026-04-03 16:10:15.551628,1.0,[],
2,20260401,20260402,20260403,300436.SZ,广生堂,121.79,128.05,5.14,1,2,2026-04-03 16:10:15.551627,1.0,[],
1,20260401,20260402,20260403,002639.SZ,雪人集团,19.2,19.8,3.13,1,1,2026-04-03 16:10:15.551619,1.0,[],
27,20260330,20260331,20260401,002160.SZ,常铝股份,5.79,5.11,-11.74,0,3,2026-04-01 16:10:17.386415,1.0,[],
26,20260330,20260331,20260401,601388.SH,怡球资源,4.02,3.68,-8.46,0,2,2026-04-01 16:10:17.386414,1.0,[],
25,20260330,20260331,20260401,002532.SZ,天山铝业,17.98,17.9,-0.44,0,1,2026-04-01 16:10:17.386408,1.0,[],
24,20260327,20260330,20260331,300204.SZ,舒泰神,28.45,30.03,5.55,1,3,2026-03-31 16:10:27.179007,1.0,[],
23,20260327,20260330,20260331,600310.SH,广西能源,6.99,6.34,-9.3,0,2,2026-03-31 16:10:27.179006,1.0,[],
22,20260327,20260330,20260331,002263.SZ,大东南,4.17,4.51,8.15,1,1,2026-03-31 16:10:27.179000,1.0,[],
21,20260326,20260327,20260330,000767.SZ,晋控电力,4.9,4.58,-6.53,0,3,2026-03-30 16:10:30.822473,1.0,[],
20,20260326,20260327,20260330,000692.SZ,惠天热电,5.39,5.07,-5.94,0,2,2026-03-30 16:10:30.822472,1.0,[],
19,20260326,20260327,20260330,000720.SZ,新能泰山,5.43,4.96,-8.66,0,1,2026-03-30 16:10:30.822465,1.0,[],
18,20260325,20260326,20260327,000722.SZ,湖南发展,17.78,16.96,-4.61,0,3,2026-03-27 16:10:21.952456,1.0,[],
17,20260325,20260326,20260327,002491.SZ,通鼎互联,11.61,11.22,-3.36,0,2,2026-03-27 16:10:21.952454,1.0,[],
16,20260325,20260326,20260327,002902.SZ,铭普光磁,28.0,27.94,-0.21,0,1,2026-03-27 16:10:21.952442,1.0,[],
15,20260320,20260323,20260324,002309.SZ,中利集团,4.19,4.61,10.02,1,3,2026-03-24 19:51:33.314209,1.0,[],
14,20260320,20260323,20260324,603687.SH,大胜达,14.73,14.75,0.14,0,2,2026-03-24 19:51:33.314208,1.0,[],
13,20260320,20260323,20260324,002256.SZ,兆新股份,4.7,4.87,3.62,1,1,2026-03-24 19:51:33.314194,1.0,[],
12,20260319,20260320,20260323,601218.SH,吉鑫科技,7.7,7.19,-6.62,0,3,2026-03-23 16:41:31.468503,1.0,[],
11,20260319,20260320,20260323,002310.SZ,东方新能,3.25,3.83,17.85,1,2,2026-03-23 16:41:31.468501,1.0,[],
10,20260319,20260320,20260323,000601.SZ,韶能股份,8.13,7.33,-9.84,0,1,2026-03-23 16:41:31.468495,1.0,[],
9,20260318,20260319,20260320,000601.SZ,韶能股份,7.4,8.14,10.0,1,3,2026-03-20 16:10:36.856691,1.0,[],
8,20260318,20260319,20260320,000020.SZ,深华发Ａ,21.21,23.33,10.0,1,2,2026-03-20 16:10:36.856690,1.0,[],
7,20260318,20260319,20260320,603387.SH,基蛋生物,11.28,9.65,-14.45,0,1,2026-03-20 16:10:36.856681,1.0,[],
6,20260317,20260318,20260319,600307.SH,酒钢宏兴,2.27,2.28,0.44,0,3,2026-03-19 16:08:57.131083,1.0,[],
5,20260317,20260318,20260319,600396.SH,华电辽能,5.17,5.69,10.06,1,2,2026-03-19 16:08:57.131082,1.0,[],
4,20260317,20260318,20260319,000020.SZ,深华发Ａ,19.28,21.21,10.01,1,1,2026-03-19 16:08:57.131077,1.0,[],
