ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
603517.SH,20260403,28590,3605.36,26602,3354.77,22340,2816.92,26557,3347.89,16946,2140.48,14863,1878.36,146,18.27,0,0.0,-1596,-195.83
603518.SH,20260403,27780,2432.71,25546,2237.18,10864,950.36,10125,885.68,2916,254.15,5851,511.05,0,0.0,38,3.31,-3188,-279.4
603519.SH,20260403,19920,2649.98,20660,2748.32,5460,725.94,4672,621.25,1460,194.71,1508,201.06,0,0.0,0,0.0,-874,-115.04
603520.SH,20260403,145129,15410.28,139730,14840.75,88799,9443.31,86656,9215.24,29823,3173.18,36297,3857.93,0,0.0,1068,112.84,-36107,-3826.24
603527.SH,20260403,94275,9717.32,96551,9945.09,30090,3108.84,24201,2496.91,10755,1103.82,10919,1134.34,0,0.0,3449,353.64,-6118,-620.49
603528.SH,20260403,34712,2772.21,35196,2811.68,17943,1431.62,16551,1321.27,9884,790.02,10792,860.9,0,0.0,0,0.0,-9315,-742.43
603529.SH,20260403,81257,24861.07,76086,23289.97,59953,18363.2,53890,16524.3,32334,9902.12,39480,12079.84,7927,2424.06,12014,3656.34,-21815,-6696.03
603530.SH,20260403,15050,8297.53,15379,8477.41,4483,2471.7,5163,2847.15,2658,1467.37,2488,1370.42,1230,675.01,391,216.63,-985,-535.32
603533.SH,20260403,71331,17226.97,65928,15922.73,40419,9763.12,38526,9307.71,18898,4559.95,20027,4833.36,5166,1244.17,11333,2730.41,-8592,-2058.23
603535.SH,20260403,15794,1305.66,15503,1282.04,5377,444.08,6134,506.27,1894,156.74,1428,118.17,0,0.0,0,0.0,-2933,-243.71
603536.SH,20260403,33849,3259.95,39293,3784.8,14483,1394.19,10976,1056.25,3351,322.23,2613,250.92,1198,115.61,0,0.0,-11629,-1126.25
603538.SH,20260403,318920,136209.73,306986,131117.86,294960,125569.92,290947,123870.11,196457,83745.12,190265,80963.87,86460,36463.23,108599,46036.15,9984,4312.95
603551.SH,20260403,18372,2249.69,19104,2338.84,5467,668.88,4560,558.02,1547,189.2,1722,210.91,0,0.0,0,0.0,-3472,-425.47
603556.SH,20260403,13781,4553.63,13211,4364.59,3803,1257.38,4012,1326.4,2352,775.36,2713,895.38,0,0.0,0,0.0,-1248,-410.91
603557.SH,20260403,22567,850.25,25828,972.05,27989,1054.55,33831,1274.05,18898,709.5,9795,368.21,0,0.0,0,0.0,-38663,-1452.23
603558.SH,20260403,58194,7707.55,56718,7514.59,29920,3969.43,32157,4261.3,13970,1845.19,12904,1705.24,3822,503.01,4127,544.05,-8970,-1189.99
603559.SH,20260403,12209,878.36,11814,849.92,12272,882.86,13676,982.65,5551,399.56,2783,201.31,1878,135.22,3637,262.1,-6756,-482.93
603565.SH,20260403,75788,8721.71,75274,8662.8,45393,5230.02,37049,4266.36,15253,1756.2,15084,1737.43,3755,430.94,12782,1472.28,-4451,-491.91
603566.SH,20260403,22732,2832.55,26246,3272.92,8430,1050.81,7050,879.12,1433,178.99,922,116.32,2450,310.14,827,104.12,-11287,-1411.61
603567.SH,20260403,126901,8605.43,121282,8222.68,65551,4446.39,58503,3974.25,24947,1696.63,35138,2384.59,0,0.0,2476,166.93,-21979,-1493.15
603568.SH,20260403,20434,5077.76,18855,4683.63,5980,1484.66,5646,1403.03,1691,420.38,3603,896.13,0,0.0,0,0.0,3436,857.12
603569.SH,20260403,21101,1409.19,22327,1490.71,6914,461.56,5381,359.31,3167,211.37,3474,232.1,0,0.0,0,0.0,-5584,-371.89
603577.SH,20260403,38913,3997.5,44340,4554.36,17747,1824.91,17721,1822.63,9606,987.81,5026,516.32,821,83.09,0,0.0,-7909,-811.88
603578.SH,20260403,23237,2828.04,24381,2967.17,8046,980.02,7387,899.45,2674,324.32,2189,265.76,0,0.0,0,0.0,-3547,-432.35
603579.SH,20260403,12439,2465.76,13138,2604.62,5764,1142.41,5299,1050.62,1604,318.72,1369,271.66,0,0.0,0,0.0,-3637,-720.96
603580.SH,20260403,5319,894.6,7031,1182.96,6461,1089.18,5499,925.67,4711,793.77,3961,668.93,0,0.0,0,0.0,-2949,-495.2
603583.SH,20260403,13743,4491.76,14569,4763.73,8260,2698.49,7140,2334.22,3574,1169.44,2892,947.08,1468,482.53,2444,797.19,-3283,-1074.01
603585.SH,20260403,45251,10638.48,57854,13660.79,33326,7833.73,43267,10267.11,28172,6740.51,23650,5684.25,22201,5388.65,4180,989.22,-20568,-5011.92
603586.SH,20260403,10144,1822.05,11577,2080.61,4045,726.72,2530,454.48,3436,619.11,3518,632.78,0,0.0,0,0.0,-1497,-268.24
603587.SH,20260403,11686,1409.12,14475,1745.05,5308,640.32,4280,517.3,4024,486.2,5017,605.89,2780,335.7,26,3.11,-8953,-1080.62
603588.SH,20260403,215327,33186.44,213039,32819.23,209784,32313.05,233275,35898.53,161442,24841.81,193840,29783.79,365822,56075.92,312221,47915.69,-181131,-27528.5
603589.SH,20260403,18952,4681.04,19929,4922.63,9282,2291.26,8482,2093.24,3452,854.1,3266,808.27,439,109.84,448,112.09,-9817,-2422.85
603590.SH,20260403,17612,6712.32,16442,6266.71,5453,2076.41,5872,2238.68,2107,801.78,2482,943.22,0,0.0,376,141.9,-930,-350.14
603595.SH,20260403,9938,1449.04,10423,1519.47,11318,1650.3,10014,1459.61,3097,450.99,4147,604.94,877,127.17,646,93.48,-6360,-924.78
603596.SH,20260403,25406,11184.36,27304,12018.75,26871,11829.12,27026,11900.42,16837,7416.9,16222,7143.71,2388,1051.06,950,418.55,-14690,-6432.2
603598.SH,20260403,51085,9663.93,47806,9041.31,16941,3202.67,18425,3485.41,5948,1123.7,7598,1435.84,0,0.0,145,27.74,-7840,-1479.84
603599.SH,20260403,62388,9004.95,63589,9177.42,27119,3912.96,29652,4281.55,18400,2657.97,12004,1733.32,5370,779.78,8031,1163.37,-7112,-1016.56
603600.SH,20260403,17407,1761.36,18325,1853.91,6955,704.12,6533,662.06,3572,362.73,2819,286.97,2201,224.06,2458,249.33,-2175,-219.36
603601.SH,20260403,1196233,170992.93,1199939,171561.13,944376,134931.91,953859,136256.17,552785,78939.48,541733,77394.71,269848,38572.21,267710,38224.52,-71798,-9579.0
603602.SH,20260403,16350,2060.21,18140,2285.75,5338,672.78,4429,558.37,3291,413.91,2410,302.77,0,0.0,0,0.0,-3903,-492.21
603605.SH,20260403,12408,7472.91,12648,7619.27,8067,4852.02,9005,5411.86,3274,1965.67,2296,1379.77,200,120.3,0,0.0,-7803,-4694.35
603606.SH,20260403,55019,32323.89,53054,31165.93,27064,15917.62,28965,17028.52,10544,6199.78,12444,7319.19,3156,1853.41,1319,781.07,-13629,-7981.21
603607.SH,20260403,13595,2898.03,15525,3309.11,9133,1946.2,8078,1721.71,3812,812.91,2340,498.34,0,0.0,597,128.0,-4732,-1006.88
603608.SH,20260403,41342,3858.57,40533,3782.77,24879,2322.7,22754,2125.41,17312,1613.49,16602,1547.95,1528,141.34,5172,479.96,-2150,-200.68
603609.SH,20260403,20584,1389.85,24728,1668.81,8978,607.29,6174,418.36,2340,157.48,1001,67.51,1,0.07,0,0.0,-7185,-482.46
603610.SH,20260403,21649,3257.92,23401,3518.79,13809,2076.39,13448,2024.98,5060,761.47,4172,628.07,1981,299.22,1478,223.16,-12813,-1926.99
603611.SH,20260403,15585,3071.96,16876,3325.42,10351,2038.95,9099,1791.6,3846,757.2,3264,643.36,0,0.0,543,107.73,-7860,-1546.44
603612.SH,20260403,86047,20984.87,71265,17378.56,48200,11761.4,49375,12050.22,23705,5780.06,31260,7615.72,9229,2240.71,15280,3722.55,-17571,-4282.75
603613.SH,20260403,19921,4884.26,18043,4424.42,18513,4534.35,18957,4643.76,11963,2928.67,13646,3341.64,2451,599.49,2202,536.96,-13246,-3243.72
603615.SH,20260403,28563,4951.94,28607,4953.03,22926,3986.25,17858,3093.27,12147,2119.44,14295,2505.46,729,127.5,3605,633.38,1274,257.51
603616.SH,20260403,124608,7479.44,126278,7579.9,41430,2487.99,40346,2421.74,15579,930.47,14719,882.56,3994,240.24,4268,253.95,-14663,-880.47
603617.SH,20260403,36336,2548.5,39093,2740.13,8817,616.79,9176,640.73,7601,530.73,4485,315.16,0,0.0,0,0.0,-7420,-521.2
603618.SH,20260403,430437,123682.63,419441,120617.58,284827,81842.77,279993,80632.89,194932,55955.1,217962,62411.5,104532,29909.48,97332,27728.01,26039,7502.87
603619.SH,20260403,124558,44210.01,142939,50741.13,102969,36539.38,103366,36674.31,75739,26862.58,65723,23301.9,27809,9870.2,19048,6764.83,7072,2611.26
603626.SH,20260403,109590,25093.73,131560,30125.49,72018,16490.62,70181,16072.44,57771,13221.85,42431,9720.78,18172,4173.18,13379,3060.66,-10441,-2338.93
